Item Number	Category Name	Item Description	Vendor	Vendor Name	Bottle Volume (ml)	Pack	Inner Pack	Age	Proof	List Date	UPC	SCC	State Bottle Cost	State Case Cost	State Bottle Retail	Report Date
49083	Iowa Distilleries	Remy Martin 1738 Accord Royal	389	REMY COINTREAU USA INC	200	24	0	0	80	06/01/2016	80432106846	10087236002418	8.34	200.16	12.51	10/01/2021
77698	American Flavored Vodka	Smirnoff Orange	260	DIAGEO AMERICAS	750	12	1	0	70	09/01/2014	94922371249	82000768753	8.25	98.99	12.38	10/01/2021
901171	Special Order Items	Williams Pear Brandy Mini	885	YAHARA BAY DISTILLERS INC	50	6	1	0	86	04/20/2012	94922371249	10892060104111	4.55	27.28	6.83	10/01/2021
77699	American Flavored Vodka	Smirnoff Orange	260	DIAGEO AMERICAS	1000	12	1	0	70	08/01/2014	94922371249	82000768760	9.25	110.99	13.88	10/01/2021
906411	Irish Whiskies	Peat Chimney 12YR	357	PALM BAY INTERNATIONAL	750	6	1	12	80	05/01/2016	94922371225	82000768760	35.88	215.28	53.82	10/01/2021
903811	Special Order Items	Glenlivet 12YR	370	PERNOD RICARD USA	1750	6	1	0	86	04/27/2000	94922371225	10080432400729	39.52	237.12	59.28	10/01/2021
901175	Special Order Items	Armagnac XO 25yr	885	YAHARA BAY DISTILLERS INC	1000	1	1	0	80	04/13/2010	94922371225	10892060102964	57.54	57.54	86.31	10/01/2021
906596	Special Order Items	George Dickel Barrel Select Buy the Barrel	260	DIAGEO AMERICAS	750	12	1	0	86	08/01/2014	94922371225	10082000762369	18.45	221.31	27.68	10/01/2021
901176	Special Order Items	Armagnac XO 25yr	885	YAHARA BAY DISTILLERS INC	750	3	1	0	80	04/13/2012	94922371225	10892060102957	46.70	140.08	70.05	10/01/2021
77703	American Flavored Vodka	Smirnoff Passion Fruit	260	DIAGEO AMERICAS	750	12	1	0	70	05/01/2015	94922371225	82000769200	8.25	98.99	12.38	10/01/2021
906409	Temporary & Specialty Packages	The Hive 12YR	357	PALM BAY INTERNATIONAL	750	6	1	12	80	05/01/2016	94922371249	10080432402501	35.84	215.04	53.76	10/01/2021
