Store	Name	Store Status	Address	City	State	Zip Code	Store Address	Report Date
4431	Kum & Go #89 / Fort Dodge	I	115 N 22ND ST	Fort Dodge	IA	50501	POINT (-94.168007 42.507885)	10/01/2021
9916	G & G Distributors	I		Des Moines	IA	50312	POINT (-93.674747 41.585489)	10/01/2021
5081	Casey's General Store #3035 / Atlant	A	701 Poplar St	Atlantic	IA	50022	POINT (-95.014425 41.403737)	10/01/2021
5954	Old 34 Gas & Grill / Danville	A	305 E Hwy 34	Danville	IA	52623		10/01/2021
9046	Rock River Distillation Company	I	3294 170th St	Rock Rapids	IA	51246	POINT (-96.138605 43.404281)	10/01/2021
5683	Casey's General Store #2697 / Onawa	A	706 10th St	Onawa	IA	51040	POINT (-96.097205 42.03035700000001)	10/01/2021
4046	J and K Market	I	113 W Vanburen	Centerville	IA	52544	POINT (-92.874795 40.734946)	10/01/2021
5037	Uncorked Wine & Spirits	I	111 E HARRISON ST	Jefferson	IA	50129	POINT (-94.374156 42.014308)	10/01/2021
4543	Casey's General Store #2924 / Marion	A	1100 Eagle View Dr	Marion	IA	52302	POINT (-91.553462 42.037621)	10/01/2021
5136	Urban Liquor	I	6401 Douglas Ave	Des Moines	IA	50322	POINT (-93.705732 41.629411)	10/01/2021
9945	Modern Matriarch	I	18389 Sunnydale Rd.	Council Bluffs	IA	51503	POINT (-95.76955 41.281142)	10/01/2021
5981	Casey's General Store #3244 / Urbandale	A	3750 111th St	Urbandale	IA	50322	POINT (-93.771388 41.628674)	10/01/2021
5066	Bears Burgers & Buns	I	14628, Mile Hill Lane	Dubuque	IA	52003	POINT (-90.774515 42.457708)	10/01/2021
4412	Kum & Go #267 / Tipton	A	2050 Ia Highway 38	Tipton	IA	52772	POINT (-91.115934 41.647175)	10/01/2021
5730	Jim's Food	A	437 Sullivan Avenue	Waterloo	IA	50701	POINT (-92.355915 42.487326)	10/01/2021
